"Code","Waarde","Hyp3","Hyp4","OnroerendeZaken","Schepen","Luchtvaartuigen","TijdOndertekeningNietVerplicht","TekeningVerplicht","UI-clusterTbvKetenpartnerNotarisProtocolhouder","KIKCategorie","Toelichting"
"1","Appartementsrechtsplitsing (hoofdsplitsing of ondersplitsing)",,"X","X",,,,"Ja","Stuk betreffende appartementsrechtsplitsing",,
"2","Appartementsrechtsplitsing (spiegelsplitsing)",,"X","X",,,,,"Stuk betreffende appartementsrechtsplitsing",,
"3","Appartementsrechtsplitsing opheffing",,"X","X",,,,,"Stuk betreffende appartementsrechtsplitsing",,
"4","Appartementsrechtsplitsing wijziging met tekening",,"X","X",,,,"Ja","Stuk betreffende appartementsrechtsplitsing",,
"5","Appartementsrechtsplitsing wijziging zonder tekening",,"X","X",,,,,"Stuk betreffende appartementsrechtsplitsing",,
"9","Cessie","X",,"X",,,,,"Hypotheek",,
"10","Hypotheek (doorhaling)","X",,"X","X","X",,,"Hypotheek","Doorhaling hypotheek",
"11","Hypotheek (vestiging)","X",,"X","X","X",,,"Hypotheek","Hypotheek",
"12","Hypotheek (wijziging)","X",,"X",,,,,"Hypotheek",,
"13","Rangwisseling","X","X","X",,,,,"Hypotheek",,
"14","Bewind","X","X","X","X","X","X",,"Stuk betreffende natuurlijk persoon",,
"15","Faillietverklaring",,"X","X",,,,,"Stuk betreffende natuurlijk persoon",,
"16","Huwelijk of geregistreerd partnerschap",,"X","X",,,,,"Stuk betreffende natuurlijk persoon",,
"17","Fusie","X","X","X","X","X",,,"Stuk betreffende rechtspersoon / samenwerkingsverband",,
"18","Naamswijziging","X","X","X","X","X",,,"Stuk betreffende rechtspersoon / samenwerkingsverband",,
"19","Omzetting rechtspersoon","X","X","X",,,,,"Stuk betreffende rechtspersoon / samenwerkingsverband",,
"20","Splitsen rechtspersoon","X","X","X","X","X",,,"Stuk betreffende rechtspersoon / samenwerkingsverband",,
"21","Inbreng in of ontbinding van personenvennootschap",,"X","X",,,,,"Stuk betreffende rechtspersoon / samenwerkingsverband",,
"22","Koopovereenkomst (beëindiging)",,"X","X",,,,,"Koopovereenkomst",,
"23","Koopovereenkomst (inschrijving)",,"X","X",,,,,"Koopovereenkomst","Notariële verklaring",
"24","Aanvullende akte","X","X","X",,,,,"Algemene akte",,
"25","Algemene voorwaarden","X","X","X",,,,,"Algemene akte",,
"26","Reglement mede-eigenaren",,"X","X",,,,,"Algemene akte",,
"27","Burenrecht",,"X","X",,,,,"Overig stuk betreffende object",,
"28","Erfdienstbaarheid",,"X","X",,,,,"Overig stuk betreffende object",,
"29","Kwalitatieve verplichting",,"X","X",,,,,"Overig stuk betreffende object",,
"30","Overheidsbesluit",,"X","X",,,,,"Overig stuk betreffende object",,
"31","Privatieve last",,"X","X",,,,,"Overig stuk betreffende object",,
"32","Retentierecht",,"X","X",,,,,"Overig stuk betreffende object",,
"33","Vaststellingsovereenkomst",,"X","X",,,,,"Overig stuk betreffende object",,
"34","Beperkt recht (beëindiging)",,"X","X","X",,,,"Stuk betreffende beperkt recht",,
"35","Beperkt recht (vestiging)",,"X","X","X",,,,"Stuk betreffende beperkt recht",,
"36","Beperkt recht (wijziging)",,"X","X",,,,,"Stuk betreffende beperkt recht",,
"37","Vererving",,"X","X","X","X","X",,"Vererving / legaat",,
"38","Afgifte legaat",,"X","X",,,,,"Vererving / legaat",,
"39","Verdeling (erfgenamen)",,"X","X","X","X",,,"Verdeling",,
"40","Verdeling (gezamenlijk rechthebbenden)",,"X","X","X","X",,,"Verdeling","Akte van verdeling",
"41","Verdeling (huwelijk / geregistreerd partnerschap)",,"X","X","X","X",,,"Verdeling","Akte van verdeling",
"43","Dwaling omtrent grensaanwijs",,"X","X",,,,,"nvt (niet te clusteren)",,
"44","Herverkaveling",,"X","X",,,,,"nvt (niet te clusteren)",,
"45","Instelling rechtsvordering / rechtsmiddel","X","X","X",,,,,"nvt (niet te clusteren)",,
"46","Mandeligheid",,"X","X",,,,,"nvt (niet te clusteren)",,
"47","Netwerken",,"X","X",,,,,"nvt (niet te clusteren)",,
"48","Onteigening",,"X","X",,,,,"nvt (niet te clusteren)",,
"49","Overdracht",,"X","X","X","X",,,"nvt (niet te clusteren)","Akte van levering",
"50","Rechterlijke uitspraak","X","X","X",,,,,"nvt (niet te clusteren)",,
"51","Verjaring","X","X","X",,,,,"nvt (niet te clusteren)",,
"52","Vervulling/vervallen voorwaarde",,"X","X",,,,,"nvt (niet te clusteren)",,
"53","Vernietiging","X","X","X",,,,,"nvt (niet te clusteren)",,
"54","Waardeloosheid (verklaring van)","X","X","X",,,,,"nvt (niet te clusteren)",,"als een notaris een beslag doorhaalt, dan wordt dat gedaan met een verklaring van waardeloosheid"
