"Code","Waarde","DatumVanaf","DatumTot","CRB_Code"
"1","Motorvrachtschip","2011-01-01",,"111"
"2","Motorbeunschip","2011-01-01",,"112"
"3","Containerschip","2011-01-01",,"113"
"4","Ro ro motorvrachtschip","2011-01-01",,"114"
"5","Motorcementtankschip","2011-01-01",,"115"
"6","Motordekschuit","2011-01-01",,"116"
"7","Motoronderlosser e.d.","2011-01-01",,"117"
"8","Autocarriers","2011-01-01",,"118"
"9","Ro ro motorvrachtschip opleg.","2011-01-01",,"119"
"10","Vrachtduwbak","2011-01-01",,"121"
"11","Zeeschipbak","2011-01-01",,"122"
"12","Containerduwbak","2011-01-01",,"123"
"13","Ro ro vrachtduwbak","2011-01-01",,"124"
"14","Sleepvrachtschip","2011-01-01",,"125"
"15","Dekschuit ","2011-01-01",,"126"
"16","Onderlosser ","2011-01-01",,"127"
"17","Ponton (vracht)","2011-01-01",,"128"
"18","Ro ro vrachtduwbak","2011-01-01",,"129"
"19","Motortankschip","2011-01-01",,"211"
"20","Motortankschip gas","2011-01-01",,"212"
"21","Tankduwbak","2011-01-01",,"221"
"22","Tankduwbak gas","2011-01-01",,"222"
"23","Sleeptankschip ","2011-01-01",,"223"
"24","Sleeptankschip gas","2011-01-01",,"224"
"25","Ponton (tank)","2011-01-01",,"228"
"26","Duwboot","2011-01-01",,"311"
"27","Sleepboot","2011-01-01",,"312"
"28","Sleep duwboot","2011-01-01",,"313"
"29","Drijvend werktuig (m.e.b.)","2011-01-01",,"321"
"30","Drijvend werktuig (z.e.b.)","2011-01-01",,"322"
"31","Passagiersschip (meerdaags)","2011-01-01",,"361"
"32","Rondvaartboot (dagtocht)","2011-01-01",,"362"
"33","Elevatorbak ","2011-01-01",,"363"
"34","Veerboot/pont","2011-01-01",,"364"
"35","Overige beroepsvaartuigen","2011-01-01",,"365"
"90","Motorjacht","2011-01-01",,"400"
"91","Zeiljacht","2011-01-01",,"400"
"92","Motorzeiljacht","2011-01-01",,"400"
"93","Motorkruiser","2011-01-01",,"400"
"94","Overige jachten","2011-01-01",,"400"
"99","Woonschip","2011-01-01",,"500"
